sample_name,replicate,serial_number,extract_number,seqid_16s_xxx,seqid_18s_xxx,seqid_12s_xxx,project_id,project_title,project_description,project_proposal,notes,collection_date_only,collection_time_local_only,cruise,station,region,degrees_latitude,degrees_longitude,depth_meters,depth_category,ctd_bottle_no,volume_filtered_ml,sample_collection_device,sample_collection_method,sample_material_processing,size_fraction,env_material,sample_type,temperature_celsius,ph,salinity,pressure,temp_station,temp_depth,ctdoxy,oxygen_umol_kg,phosphate_umol_kg,silicate_umol_kg,nitrate_umol_kg,nitrite_umol_kg,nitrate_nitrite_umol_kg,nh4_umol_kg,dic_umol_kg,pco2_mea_uatm,ph_tot_mea,carbonate_umol_kg,dna_sample_number,plate,plate_name,well_number,well_position,station_depth,ship_crs_expocode,woce_sect,date,utc_time,lat_lon,submitted_to_insdc,investigation_type,samp_mat_process,target_gene,additional_notes,notes_on_bottle_metadata
GOMECC4_TAMPA_Sta10_Surface_C,C,GOMECC4_041,,,,,gomecc4,Assessing Ecosystem Responses of Gulf of Mexico Communities to OA using Environmental DNA,https://docs.google.com/document/d/1zf4T6ywQuVvSmMjoy13BDiqll27xVkGZ1fBcrev5jtg,https://docs.google.com/document/d/1n_Q-OjSPowot4hpHKYCxl50HwdaskSnl,NA,9/17/2021,17:27-04:00,,Sta10,TAMPA,26.221,85.665,4,Surface,24,1860,Niskin bottle,CTD rosette,Pumped through Sterivex filter (0.22um) using peristaltic pump,Greater than 0.22um,water,seawater,29.944,8.13239,35.652,4,29.944_10,29.944_4,4.341,195.399,0.0322,1.73602,0.21078,0.02244,0.23323,0.67138,2026.81,262.48,8.13239,252.556,41,Plate4,GOMECC2021_Plate4,1,A1,10_4,WBTSRHB,RB2103,2021-09-17,23:23+00:00,26.221_85.665,SRA,mimarks-survey,"{filtering of seawater, freezing filters}","{16S rRNA, 18S rRNA}",,
GOMECC4_PENSACOLA_Sta33_Deep_A,A,GOMECC4_102,,,,,gomecc4,Assessing Ecosystem Responses of Gulf of Mexico Communities to OA using Environmental DNA,https://docs.google.com/document/d/1zf4T6ywQuVvSmMjoy13BDiqll27xVkGZ1fBcrev5jtg,https://docs.google.com/document/d/1n_Q-OjSPowot4hpHKYCxl50HwdaskSnl,NA,9/23/2021,19:50-04:00,,Sta33,PENSACOLA,29.463,87.236,344,Deep,4,1820,Niskin bottle,CTD rosette,Pumped through Sterivex filter (0.22um) using peristaltic pump,Greater than 0.22um,water,seawater,10.589,7.65256,35.281,347,10.589_33,10.589_344,2.6156,117.046,1.55298,13.5225,25.2396,0.01072,25.2503,0.31976,2204.75,927.24,7.65256,98.5504,102,Plate4,GOMECC2021_Plate4,2,B1,33_344,WBTSRHB,RB2103,2021-09-24,6:00+00:00,29.463_87.236,SRA,mimarks-survey,"{filtering of seawater, freezing filters}","{16S rRNA, 18S rRNA}",DCM = 50 m.,
GOMECC4_PENSACOLA_Sta33_DCM_A,A,GOMECC4_105,,,,,gomecc4,Assessing Ecosystem Responses of Gulf of Mexico Communities to OA using Environmental DNA,https://docs.google.com/document/d/1zf4T6ywQuVvSmMjoy13BDiqll27xVkGZ1fBcrev5jtg,https://docs.google.com/document/d/1n_Q-OjSPowot4hpHKYCxl50HwdaskSnl,AM cast,9/23/2021,19:50-04:00,,Sta33,PENSACOLA,29.463,87.236,48,DCM,14,1880,Niskin bottle,CTD rosette,Pumped through Sterivex filter (0.22um) using peristaltic pump,Greater than 0.22um,water,seawater,26.041,8.00302,36.128,49,26.041_33,26.041_48,4.0546,178.93,0.13455,4.08534,1.08032,0.2223,1.30263,0.39488,2100.35,371.46,8.00302,197.702,105,Plate4,GOMECC2021_Plate4,3,C1,33_48,WBTSRHB,RB2103,2021-09-24,6:00+00:00,29.463_87.236,SRA,mimarks-survey,"{filtering of seawater, freezing filters}","{16S rRNA, 18S rRNA}",,Bottle 12.
GOMECC4_PENSACOLA_Sta33_DCM_B,B,GOMECC4_106,,,,,gomecc4,Assessing Ecosystem Responses of Gulf of Mexico Communities to OA using Environmental DNA,https://docs.google.com/document/d/1zf4T6ywQuVvSmMjoy13BDiqll27xVkGZ1fBcrev5jtg,https://docs.google.com/document/d/1n_Q-OjSPowot4hpHKYCxl50HwdaskSnl,PM cast,9/23/2021,19:50-04:00,,Sta33,PENSACOLA,29.463,87.236,48,DCM,14,1880,Niskin bottle,CTD rosette,Pumped through Sterivex filter (0.22um) using peristaltic pump,Greater than 0.22um,water,seawater,26.041,8.00302,36.128,49,26.041_33,26.041_48,4.0546,178.93,0.13455,4.08534,1.08032,0.2223,1.30263,0.39488,2100.35,371.46,8.00302,197.702,106,Plate4,GOMECC2021_Plate4,4,D1,33_48,WBTSRHB,RB2103,2021-09-24,6:00+00:00,29.463_87.236,SRA,mimarks-survey,"{filtering of seawater, freezing filters}","{16S rRNA, 18S rRNA}",,
GOMECC4_PENSACOLA_Sta31_Deep_A,A,GOMECC4_093,,,,,gomecc4,Assessing Ecosystem Responses of Gulf of Mexico Communities to OA using Environmental DNA,https://docs.google.com/document/d/1zf4T6ywQuVvSmMjoy13BDiqll27xVkGZ1fBcrev5jtg,https://docs.google.com/document/d/1n_Q-OjSPowot4hpHKYCxl50HwdaskSnl,NA,9/23/2021,12:06-04:00,,Sta31,PENSACOLA,30.111,86.8,67,Deep,3,1880,Niskin bottle,CTD rosette,Pumped through Sterivex filter (0.22um) using peristaltic pump,Greater than 0.22um,water,seawater,20.795,7.91426,36.47,68,20.795_31,20.795_67,3.2139,150.758,0.3188,4.91271,5.57372,0.04777,0,0.43287,2151.86,469.01,7.91426,170.127,93,Plate4,GOMECC2021_Plate4,5,E1,31_67,WBTSRHB,RB2103,2021-09-23,16:16+00:00,30.111_86.8,SRA,mimarks-survey,"{filtering of seawater, freezing filters}","{16S rRNA, 18S rRNA}",DCM = 30 m.,Bottle 1.
GOMECC4_PANAMACITY_Sta21_Surface_B,B,GOMECC4_073,,,,,gomecc4,Assessing Ecosystem Responses of Gulf of Mexico Communities to OA using Environmental DNA,https://docs.google.com/document/d/1zf4T6ywQuVvSmMjoy13BDiqll27xVkGZ1fBcrev5jtg,https://docs.google.com/document/d/1n_Q-OjSPowot4hpHKYCxl50HwdaskSnl,Blanks - post set up,9/20/2021,18:04-04:00,,Sta21,PANAMACITY,29.206,85.647,2,Surface,11,1860,Niskin bottle,CTD rosette,Pumped through Sterivex filter (0.22um) using peristaltic pump,Greater than 0.22um,water,seawater,28.24,8.0838,33.065,2,28.24_21,28.24_2,4.486,193.49,0.02445,1.37583,0.00782,0.0088,0.01662,0.93873,1957.67,287.29,8.0838,202.73,73,Plate4,GOMECC2021_Plate4,6,F1,21_2,WBTSRHB,RB2103,2021-09-20,22:14+00:00,29.206_85.647,SRA,mimarks-survey,"{filtering of seawater, freezing filters}","{16S rRNA, 18S rRNA}",,
GOMECC4_PENSACOLA_Sta31_DCM_C,C,GOMECC4_098,,,,,gomecc4,Assessing Ecosystem Responses of Gulf of Mexico Communities to OA using Environmental DNA,https://docs.google.com/document/d/1zf4T6ywQuVvSmMjoy13BDiqll27xVkGZ1fBcrev5jtg,https://docs.google.com/document/d/1n_Q-OjSPowot4hpHKYCxl50HwdaskSnl,PM cast,9/23/2021,12:06-04:00,,Sta31,PENSACOLA,30.111,86.8,29,DCM,7,1980,Niskin bottle,CTD rosette,Pumped through Sterivex filter (0.22um) using peristaltic pump,Greater than 0.22um,water,seawater,27.932,8.00177,35.33,29,27.932_31,27.932_29,3.6827,168.266,0.07123,3.00532,0.50837,0.48983,0,0.35713,2071.64,362.93,8.00177,198.894,98,Plate4,GOMECC2021_Plate4,7,G1,31_29,WBTSRHB,RB2103,2021-09-23,16:16+00:00,30.111_86.8,SRA,mimarks-survey,"{filtering of seawater, freezing filters}","{16S rRNA, 18S rRNA}",,
GOMECC4_PANAMACITY_Sta28_DCM_B,B,GOMECC4_088,,,,,gomecc4,Assessing Ecosystem Responses of Gulf of Mexico Communities to OA using Environmental DNA,https://docs.google.com/document/d/1zf4T6ywQuVvSmMjoy13BDiqll27xVkGZ1fBcrev5jtg,https://docs.google.com/document/d/1n_Q-OjSPowot4hpHKYCxl50HwdaskSnl,NA,9/21/2021,14:30-04:00,,Sta28,PANAMACITY,28,86.62,43,DCM,21,1820,Niskin bottle,CTD rosette,Pumped through Sterivex filter (0.22um) using peristaltic pump,Greater than 0.22um,water,seawater,28.184,8.05983,35.784,44,28.184_28,28.184_43,4.2816,195.065,0.04586,1.59935,0.26054,0.09563,0.35617,0.20199,2061.18,316.47,8.05983,219.348,88,Plate4,GOMECC2021_Plate4,8,H1,28_43,WBTSRHB,RB2103,2021-09-21,19:11+00:00,28_86.62,SRA,mimarks-survey,"{filtering of seawater, freezing filters}","{16S rRNA, 18S rRNA}",,
GOMECC4_PANAMACITY_Sta23_Surface_B,B,GOMECC4_082,,,,,gomecc4,Assessing Ecosystem Responses of Gulf of Mexico Communities to OA using Environmental DNA,https://docs.google.com/document/d/1zf4T6ywQuVvSmMjoy13BDiqll27xVkGZ1fBcrev5jtg,https://docs.google.com/document/d/1n_Q-OjSPowot4hpHKYCxl50HwdaskSnl,NA,9/20/2021,23:13-04:00,,Sta23,PANAMACITY,28.866,85.922,3,Surface,13,2000,Niskin bottle,CTD rosette,Pumped through Sterivex filter (0.22um) using peristaltic pump,Greater than 0.22um,water,seawater,28.465,8.07468,34.68,3,28.465_23,28.465_3,4.3937,190.194,0.02637,1.25104,0.07715,0.00391,0.08106,0.45803,2009.34,301,8.07468,221.231,82,Plate4,GOMECC2021_Plate4,9,A2,23_3,WBTSRHB,RB2103,2021-09-21,3:26+00:00,28.866_85.922,SRA,mimarks-survey,"{filtering of seawater, freezing filters}","{16S rRNA, 18S rRNA}",,
GOMECC4_PENSACOLA_Sta31_DCM_B,B,GOMECC4_097,,,,,gomecc4,Assessing Ecosystem Responses of Gulf of Mexico Communities to OA using Environmental DNA,https://docs.google.com/document/d/1zf4T6ywQuVvSmMjoy13BDiqll27xVkGZ1fBcrev5jtg,https://docs.google.com/document/d/1n_Q-OjSPowot4hpHKYCxl50HwdaskSnl,NA,9/23/2021,12:06-04:00,,Sta31,PENSACOLA,30.111,86.8,29,DCM,7,1980,Niskin bottle,CTD rosette,Pumped through Sterivex filter (0.22um) using peristaltic pump,Greater than 0.22um,water,seawater,27.932,8.00177,35.33,29,27.932_31,27.932_29,3.6827,168.266,0.07123,3.00532,0.50837,0.48983,0,0.35713,2071.64,362.93,8.00177,198.894,97,Plate4,GOMECC2021_Plate4,10,B2,31_29,WBTSRHB,RB2103,2021-09-23,16:16+00:00,30.111_86.8,SRA,mimarks-survey,"{filtering of seawater, freezing filters}","{16S rRNA, 18S rRNA}",,
