field_name	values
project_id	noaa-aoml-gomecc4
assay_name	ssu18sv9
analysis_run_name	gomecc4-18S_v2024.10
sop_bioinformatics	https://github.com/aomlomics/tourmaline/tree/develop
trim_method	qiime2-amplicon-2024.10; Cutadapt 4.9
trim_param	"Trim forward reads of reverse complement of reverse primer, and reverse reads of reverse complement of forward primer. Then trim forward reads of forward primer, and reverse reads of reverse primer. Minimum length of 1 bp. "
min_reads_cutoff	1
min_reads_cutoff_unit	reads
min_reads_tool	qiime2-amplicon-2024.10;DADA2 1.30.0
error_rate_tool	qiime2-amplicon-2024.10;DADA2 1.30.0
error_rate_cutoff	2
error_rate_type	expected error rate
merge_min_overlap	12
merge_tool	qiime2-amplicon-2024.10;DADA2 1.30.0
otu_clust_cutoff	100
otu_clust_tool	qiime2-amplicon-2024.10;DADA2 1.30.0
chimera_check_method	denovo; qiime2-amplicon-2024.10;DADA2 1.30.0
chimera_check_param	--chimera_method consensus --min_parental_fold 1
tax_asign_cat	sequence composition
otu_seq_comp_appr	qiime2-amplicon-2024.10;naive-bayes classifier; scikit-learn 1.4.2
otu_db	PR2 v5.0.1; V9 1391f-1510r region dereplicated; 10.5281/zenodo.10137946
tax_class_id_cutoff	not applicable
tax_class_query_cutoff	not applicable
tax_class_other	#NAME?
tax_class_collapse	collapse to s level with confidence threshold of 0.7

discard_untrimmed	FALSE
qiime2_version	qiime2-amplicon-2024.10
tourmaline_asv_method	dada2pe
dada2_trunc_len_f	120
dada2pe_trunc_len_r	120
dada2_trim_left_f	0
dada2pe_trim_left_r	0
dada2_max_ee_f	2
dada2pe_max_ee_r	2
dada2_trunc_q	2
dada2_pooling_method	independent
dada2_chimera_method	consensus
dada2_min_fold_parent_over_abundance	1
dada2_n_reads_learn	1000000
deblur_trim_length	not applicable
repseqs_min_abundance	0
repseqs_min_length	0
repseqs_max_length	0
repseqs_min_prevalence	0
skl_confidence	0.7
min_consensus	not applicable
