sample-id,absolute-filepath,direction
GLOMICON_AWI_12,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_AWI_12_S69_L001_R1_001.fastq.gz,forward
GLOMICON_AWI_16,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_AWI_16_S68_L001_R1_001.fastq.gz,forward
GLOMICON_AWI_20,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_AWI_20_S67_L001_R1_001.fastq.gz,forward
GLOMICON_AWI_4,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_AWI_4_S71_L001_R1_001.fastq.gz,forward
GLOMICON_AWI_8,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_AWI_8_S70_L001_R1_001.fastq.gz,forward
GLOMICON_BloomMock_1,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_BloomMock_1_S77_L001_R1_001.fastq.gz,forward
GLOMICON_BloomMock_10,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_BloomMock_10_S80_L001_R1_001.fastq.gz,forward
GLOMICON_BloomMock_30,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_BloomMock_30_S81_L001_R1_001.fastq.gz,forward
GLOMICON_BloomMock_4,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_BloomMock_4_S78_L001_R1_001.fastq.gz,forward
GLOMICON_BloomMock_6,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_BloomMock_6_S79_L001_R1_001.fastq.gz,forward
GLOMICON_EvenMock_1,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_EvenMock_1_S82_L001_R1_001.fastq.gz,forward
GLOMICON_EvenMock_4,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_EvenMock_4_S83_L001_R1_001.fastq.gz,forward
GLOMICON_EvenMock_5,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_EvenMock_5_S84_L001_R1_001.fastq.gz,forward
GLOMICON_EvenMock_A,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_EvenMock_A_S85_L001_R1_001.fastq.gz,forward
GLOMICON_EvenMock_B,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_EvenMock_B_S86_L001_R1_001.fastq.gz,forward
GLOMICON_NOC_10,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_NOC_10_S75_L001_R1_001.fastq.gz,forward
GLOMICON_NOC_16,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_NOC_16_S74_L001_R1_001.fastq.gz,forward
GLOMICON_NOC_22,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_NOC_22_S73_L001_R1_001.fastq.gz,forward
GLOMICON_NOC_3,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_NOC_3_S76_L001_R1_001.fastq.gz,forward
GLOMICON_NOC_32,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_NOC_32_S72_L001_R1_001.fastq.gz,forward
GLOMICON_Roscoff_11,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_Roscoff_11_S64_L001_R1_001.fastq.gz,forward
GLOMICON_Roscoff_15,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_Roscoff_15_S63_L001_R1_001.fastq.gz,forward
GLOMICON_Roscoff_19,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_Roscoff_19_S62_L001_R1_001.fastq.gz,forward
GLOMICON_Roscoff_3,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_Roscoff_3_S66_L001_R1_001.fastq.gz,forward
GLOMICON_Roscoff_7,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_Roscoff_7_S65_L001_R1_001.fastq.gz,forward
GLOMICON_AWI_12,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_AWI_12_S69_L001_R2_001.fastq.gz,reverse
GLOMICON_AWI_16,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_AWI_16_S68_L001_R2_001.fastq.gz,reverse
GLOMICON_AWI_20,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_AWI_20_S67_L001_R2_001.fastq.gz,reverse
GLOMICON_AWI_4,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_AWI_4_S71_L001_R2_001.fastq.gz,reverse
GLOMICON_AWI_8,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_AWI_8_S70_L001_R2_001.fastq.gz,reverse
GLOMICON_BloomMock_1,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_BloomMock_1_S77_L001_R2_001.fastq.gz,reverse
GLOMICON_BloomMock_10,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_BloomMock_10_S80_L001_R2_001.fastq.gz,reverse
GLOMICON_BloomMock_30,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_BloomMock_30_S81_L001_R2_001.fastq.gz,reverse
GLOMICON_BloomMock_4,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_BloomMock_4_S78_L001_R2_001.fastq.gz,reverse
GLOMICON_BloomMock_6,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_BloomMock_6_S79_L001_R2_001.fastq.gz,reverse
GLOMICON_EvenMock_1,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_EvenMock_1_S82_L001_R2_001.fastq.gz,reverse
GLOMICON_EvenMock_4,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_EvenMock_4_S83_L001_R2_001.fastq.gz,reverse
GLOMICON_EvenMock_5,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_EvenMock_5_S84_L001_R2_001.fastq.gz,reverse
GLOMICON_EvenMock_A,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_EvenMock_A_S85_L001_R2_001.fastq.gz,reverse
GLOMICON_EvenMock_B,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_EvenMock_B_S86_L001_R2_001.fastq.gz,reverse
GLOMICON_NOC_10,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_NOC_10_S75_L001_R2_001.fastq.gz,reverse
GLOMICON_NOC_16,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_NOC_16_S74_L001_R2_001.fastq.gz,reverse
GLOMICON_NOC_22,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_NOC_22_S73_L001_R2_001.fastq.gz,reverse
GLOMICON_NOC_3,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_NOC_3_S76_L001_R2_001.fastq.gz,reverse
GLOMICON_NOC_32,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_NOC_32_S72_L001_R2_001.fastq.gz,reverse
GLOMICON_Roscoff_11,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_Roscoff_11_S64_L001_R2_001.fastq.gz,reverse
GLOMICON_Roscoff_15,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_Roscoff_15_S63_L001_R2_001.fastq.gz,reverse
GLOMICON_Roscoff_19,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_Roscoff_19_S62_L001_R2_001.fastq.gz,reverse
GLOMICON_Roscoff_3,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_Roscoff_3_S66_L001_R2_001.fastq.gz,reverse
GLOMICON_Roscoff_7,/Volumes/T7NOAA/sequences/MichiganState/20240401_18S-Amplicon_PE150/GLOMICON_Roscoff_7_S65_L001_R2_001.fastq.gz,reverse
